sample,abbreviation
UFG_393202_P058_WH07.Anemia_phyllitidis,Anemia_phyllitidis
UFG_393202_P072_WB01.Actinostahys_pennula,Actinostahys_pennula
UFG_393202_P072_WB04.Anemia_adiantifolia,Anemia_adiantifolia
UFG_393202_P072_WB05.Anemia_tomentosa,Anemia_tomentosa
UFG_393202_P099_WE11.Lygodium_palmatum_LYPA1,Lygodium_palmatum_LYPA1
UFG_393202_P099_WF09.Lygodium_reticulatum_LYRE2R,Lygodium_reticulatum_LYRE2R
UFG_393202_P099_WE07.Lygodium_microphyllum_JAP158,Lygodium_microphyllum_JAP158
UFG_393202_P063_WB03.Lygodium_versteegii,Lygodium_versteegii
UFG_393202_P099_WA09.Lygodium_circinnatum_LYCI2,Lygodium_circinnatum_LYCI2
UFG_393202_P099_WB02.Lygodium_conforme_LYCO4,Lygodium_conforme_LYCO4
UFG_393202_P063_WA03.Lygodium_merrillii,Lygodium_merrillii
UFG_393202_P099_WH10.Lygodium_yunnanense_LYYU1,Lygodium_yunnanense_LYYU1
UFG_393202_P099_WF10.Lygodium_salicifolium_LYSA2,Lygodium_salicifolium_LYSA2
UFG_393202_P099_WA05.Lygodium_auriculatum_LYAU3,Lygodium_auriculatum_LYAU3
UFG_393202_P099_WB10.Lygodium_dimorphum_LYDM2,Lygodium_dimorphum_LYDM2
UFG_393202_P099_WA04.Lygodium_auriculatum_LYAU4,Lygodium_auriculatum_LYAU4
UFG_393202_P099_WF04.Lygodium_polystachyum_LYPS4,Lygodium_polystachyum_LYPS4
UFG_393202_P099_WG12.Lygodium_venustum_LYVE3,Lygodium_venustum_LYVE3
UFG_393202_P099_WD05.Lygodium_kerstenii_LYKE3,Lygodium_kerstenii_LYKE3
UFG_393202_P099_WD07.Lygodium_lanceolatum_LYLA2,Lygodium_lanceolatum_LYLA2
UFG_393202_P099_WG03.Lygodium_smithianum_LYSM1,Lygodium_smithianum_LYSM1
UFG_393202_P099_WH07.Lygodium_volubile_LYVO1,Lygodium_volubile_LYVO1