Sample,Taxon,Collection Year,Location,Voucher,Herbarium,SRA Accession
Lygodium_articulatum_LYAR2,Lygodium articulatum,1966,New Zealand,Lamoureux 3668,BISH,SRR26863508
Lygodium_articulatum_LYAR4,Lygodium articulatum,1983,New Zealand,Sohmer 11816,BISH,"	SRR26863507"
Lygodium_articulatum_LYAR5,Lygodium articulatum,1949,New Zealand,Fosberg 30231,US,SRR26863487
Lygodium_auriculatum_LYAU4,Lygodium auriculatum,1988,Guam,Raulerson 17401,US,SRR26863451
Lygodium_borneense_LYAU3,Lygodium borneense,2004,Philippines,Barcelona 2533,US,SRR26863440
Lygodium_borneense_LYBO1,Lygodium borneense,1958,Malaysia,Allen 2988,F,SRR26863429
Lygodium_circinnatum_LYCI5,Lygodium circinnatum,1994,Philippines,Soejarto 8422,F,SRR26863418
Lygodium_circinnatum_LYCI2,Lygodium circinnatum,1996,Palau,Falanruw 26346,BISH,SRR26863407
Lygodium_circinnatum_LYCI4,Lygodium circinnatum,1993,Papua New Guinea,Takeuchi 9000,BISH,SRR26863477
Lygodium_circinnatum_LYCI9,Lygodium circinnatum,1954,Malaysia,Brooke 8068,US,SRR26863466
Lygodium_conforme_LYCX1,Lygodium conforme,1940,Hong Kong,Taam 1938,NY,SRR26863506
Lygodium_conforme_LYCX2,Lygodium conforme,1940,Hong Kong,Taam 1449,NY,SRR26863496
Lygodium_conforme_LYCO4,Lygodium conforme,2005,Vietnam,Xinh MVX_589_1,F,SRR26863495
Lygodium_conforme_LYCO1,Lygodium conforme,2006,Vietnam,Xinh MVX_1137,F,SRR26863494
Lygodium_conforme_LYCO2,Lygodium conforme,Missing,Vietnam,Xinh MVX_360,F,SRR26863493
Lygodium_conforme_LYCO3,Lygodium conforme,2005,Vietnam,Xinh MVX_589_2,F,SRR26863492
Lygodium_cubense_LYCU1,Lygodium cubense,2009,Cuba,Greuter et al. 26914,NY,SRR26863491
Lygodium_longifolium_LYDI1,Lygodium longifolium,1963,Borneo,Fosberg 43808,BISH,SRR26863490
Lygodium_trifurcatum_LYDM2,Lygodium trifurcatum,1986,United States of America,Lau 2529,BISH,SRR26863489
Lygodium_trifurcatum_LYDM3,Lygodium trifurcatum,1993,New Guinea,Takeuchi 8851,BISH,SRR26863488
Lygodium_trifurcatum_LYDM6R,Lygodium trifurcatum,1989,Papua New Guinea,Takeuchi 4618,US,SRR26863486
Lygodium_trifurcatum_LYDM5R,Lygodium trifurcatum,1918,Papua New Guinea,King 80,BISH,SRR26863485
Lygodium_flexuosum_LYFL2,Lygodium flexuosum,1970,Indonesia,Varheijen 2700,NY,SRR26863484
Lygodium_sp_LYFL4,Lygodium sp.,2002,China,Boufford and Shi 30324,NY,SRR26863483
Lygodium_flexuosum_LYFL1R,Lygodium flexuosum,1978,China,Chow 78024,NY,SRR26863482
Lygodium_hastatum_1RM,Lygodium hastatum,1967,Brazil,Swere 1666_rep1,NY,SRR26863481
Lygodium_hastatum_1RJ,Lygodium hastatum,1967,Brazil,Swere 1666_rep2,NY,SRR26863455
Lygodium_heterodoxum_LYHE2,Lygodium heterodoxum,1989,Costa Rica,Yatskievych and Gastony 89-267,NY,SRR26863454
Lygodium_heterodoxum_LYHE5,Lygodium heterodoxum,1989,Costa Rica,Flores 30,F,SRR26863453
Lygodium_heterodoxum_LYHE10,Lygodium heterodoxum,1985,Costa Rica,Grayum 5702,US,SRR26863452
Lygodium_hians_LYHI1,Lygodium hians,1999,New Caledonia,van der Werff and McPherson 15997,NY,SRR26863450
Lygodium_japonicum_LYJA1,Lygodium japonicum,2013,United States of America,Atha 12801,NY,SRR26863449
Lygodium_japonicum_LYJA2,Lygodium japonicum,2014,United States of America,Nelson 33368,NY,SRR26863448
Lygodium_japonicum_LYJA3,Lygodium japonicum,2001,Myanmar,Bartholmew et al. 8697,NY,SRR26863447
Lygodium_kerstenii_LYKE1,Lygodium kerstenii,1907,Madagascar,Lavanchy s.n.,F,SRR26863446
Lygodium_kerstenii_LYKE2,Lygodium kerstenii,1908,Madagascar,s.n.,F,SRR26863445
Lygodium_kerstenii_LYKE3,Lygodium kerstenii,1948,Madagascar,"Fisher 7565,230",US,SRR26863444
Lygodium_kerstenii_LYKE4,Lygodium kerstenii,1991,Madagascar,Zarucchi 7312,US,SRR26863443
Lygodium_lanceolatum_LYLA2,Lygodium lanceolatum,1993,Madagascar,Andriannatoanina 246,US,SRR26863438
Lygodium_lanceolatum_LYLA1,Lygodium lanceolatum,1970,Madagascar,Fosberg 52550,US,SRR26863441
Lygodium_lanceolatum_LYLA3,Lygodium lanceolatum,1984,Madagascar,Barnett 186,US,SRR26863439
Lygodium_longifolium_LYLO2,Lygodium longifolium,1995,Thailand,Larsen et al. 45554,NY,SRR26863438
Lygodium_longifolium_LYOL1R,Lygodium longifolium,2006,Philippines,Barcelona 2925,NY,SRR26863437
Lygodium_venustum_LYME1,Lygodium venustum,1927,Mexico,Jones s.n.,NY,SRR26863436
Lygodium_venustum_LYME2,Lygodium venustum,1968,Mexico,Nichols 1208,NY,SRR26863435
Lygodium_micans_LYMN1,Lygodium micans,1965,Nicaragua,Moina 15002,NY,SRR26863434
Lygodium_microphyllum_LYMI3R,Lygodium microphyllum,1991,Australia,Steimnn 80021,NY,SRR26863433
Lygodium_microphyllum_LYMI5R,Lygodium microphyllum,2013,Australia,Sands 5068,NY,SRR26863432
Lygodium_microphyllum_LYMI11R,Lygodium microphyllum,1974,Tanzania,Balslev 22,NY,SRR26863431
Lygodium_microphyllum_JAP158,Lygodium microphyllum,2021,United States of America,Pelosi 158,FLAS,SRR26863430
Lygodium_oligostachyum_LYOL2,Lygodium oligostachyum,2001,Dominican Republic,Clase and Santana 2811,NY,SRR26863428
Lygodium_japonicum_LYOL1R,Lygodium japonicum,1974,Dominican Republic,Alain and Liogier 21245,BISH,SRR26863427
Lygodium_palmatum_LYPA2,Lygodium palmatum,2008,United States of America,Knapp and Sorrie 2430,NY,SRR26863426
Lygodium_palmatum_LYPA1,Lygodium palmatum,2007,United States of America,Naczi and Gibxon 11920,NY,SRR26863425
Lygodium_venustum_LYPO1,Lygodium venustum,1966,Mexico,Copeland s.n.,NY,SRR26863424
Lygodium_x_fayae_LYPO2,Lygodium x fayae,1925,Haiti,Leonard 8006,NY,SRR26863423
Lygodium_polystachyum_LYPS1,Lygodium polystachyum,1995,Thailand,Larsen et al. 45489,NY,SRR26863422
Lygodium_polystachyum_LYPS3,Lygodium polystachyum,1958,Malaysia,Allen 4056,F,SRR26863421
Lygodium_polystachyum_LYPS4,Lygodium polystachyum,2006,Vietnam,Xinh MVX_1062,F,SRR26863420
Lygodium_polystachyum_LYPS2,Lygodium polystachyum,1998,Malaysia,Kato s.n.,BISH,SRR26863419
Lygodium_radiatum_LYRA2,Lygodium radiatum,1996,Ecuador,Clark 2737,NY,SRR26863417
Lygodium_radiatum_LYRA3,Lygodium radiatum,1966,Panama,Burch et al. 1018,NY,SRR26863416
Lygodium_reticulatum_LYRE1R,Lygodium reticulatum,1953,Fiji,Smith 8349,NY,SRR26863415
Lygodium_reticulatum_LYRE2R,Lygodium reticulatum,2015,Vanuatu,Ranker 2364,NY,SRR26863414
Lygodium_salicifolium_LYSA2,Lygodium salicifolium,1995,Thailand,Larsen et al. 46018,NY,SRR26863413
Lygodium_microphyllum_LYSC1,Lygodium microphyllum,1979,China,Wan and Chow,NY,SRR26863412
Lygodium_auriculatum_LYSE2,Lygodium auriculatum,1954,Guam,Fosbeg 35408,BISH,SRR26863411
Lygodium_auriculatum_LYSE4,Lygodium auriculatum,1962,Guam,Stone 3987,BISH,SRR26863410
Lygodium_smithianum_LYSM1,Lygodium smithianum,1967,Democratic Republic of the Congo,Lewalle 3126,NY,SRR26863409
Lygodium_polystachyum_x_smithianum_LYSM4,Lygodium polystachyum x smithianum,1986,Liberia,Wren 367,F,SRR26863408
Lygodium_smithianum_LYSM3,Lygodium smithianum,1991,Equatorial Guinea,Cassas 11256,F,SRR26863406
Lygodium_smithianum_LYSM6,Lygodium smithianum,1997,Gabon,Breteler 13940,US,SRR26863405
Lygodium_subareolatum_LYSU1R,Lygodium subareolatum,2005,Vietnam,Athan et al. NY-HN 77,NY,SRR26863404
Lygodium_trifurcatum_LYTR1,Lygodium trifurcatum,1936,Papua New Guinea,Carr 15485,NY,SRR26863403
Lygodium_trifurcatum_LYTR2,Lygodium trifurcatum,1979,Papua New Guinea,Gagne BHG 1862,BISH,SRR26863402
Lygodium_venustum_LYVE1,Lygodium venustum,1974,Mexico,Fryxell and Magill 2255 ,NY,SRR26863401
Lygodium_venustum_LYVE2,Lygodium venustum,1994,Mexico,McGill 6000,NY,SRR26863400
Lygodium_venustum_LYVE3,Lygodium venustum,2016,Nicaragua,Testo 1044,NY,SRR26863480
Lygodium_x_fayae_LYVE4,Lygodium x fayae,1997,Guyana,Jansen-Jacobs et al. 5528,NY,SRR26863479
Lygodium_versteegii_LYVR1R,Lygodium versteegii,2016,Papua New Guinea,Sundue 4406,BISH,SRR26863478
Lygodium_versteegii_LYVR3R,Lygodium versteegii,2006,Philippines,Barcelona 2925,US,SRR26863476
Lygodium_versteegii_LYVR4R,Lygodium versteegii,2008,Philippines,Barcelona 3374,US,SRR26863475
Lygodium_volubile_LYVO2,Lygodium volubile,1984,Brazil,Sokin et al. 314,NY,SRR26863474
Lygodium_volubile_LYVO3,Lygodium volubile,2010,Argentina,Torres et al. 1396,NY,SRR26863473
Lygodium_volubile_LYVO1,Lygodium volubile,2010,Brazil,Barber et al. 482,NY,SRR26863472
Lygodium_x_fayae_LYXF1,Lygodium x fayae,1974,Trinidad,Copeland 74-29,NY,SRR26863471
Lygodium_x_fayae_LYXF2,Lygodium x fayae,1974,Trinidad,Jeremy 11031,NY,SRR26863470
Lygodium_yunnanense_LYYU1,Lygodium yunnanense,1965,Thailand,Tagawa T 2362,US,SRR26863469
Lygodium_yunnanense_LYYU3,Lygodium yunnanense,1967,Thailand,Iwatsuki T 10351,US,SRR26863468
Lygodium_yunnanense_LYYU2,Lygodium yunnanense,1967,Thailand,Fukuoka T 11177,US,SRR26863467
Lygodium_merrillii,Lygodium merrillii,1945,Philippines,Krukeberg sn,A,SRR26863465
Lygodium_conforme,Lygodium conforme,2004,Vietnam,Wu WP488,A,SRR26863464
Lygodium_versteegii,Lygodium versteegii,2001,Papua New Guinea,Takeuchi 15103,A,SRR26863463
Lygodium_longifolium,Lygodium longifolium,2004,Indonesia,Takeuchi 18747,A,SRR26863462
Lygodium_trifurcatum_1,Lygodium trifurcatum,2001,Papua New Guinea,Takeuchi 14758,A,SRR26863461
Lygodium_radiatum,Lygodium radiatum,1966,Panama,Burch 1018,A,SRR26863460
Lygodium_oligostachyum,Lygodium oligostachyum,1964,Dominican Republic,Bro Basilio 1227,A,SRR26863459
Lygodium_circinnatum,Lygodium circinnatum,2003,Papua New Guinea,Takeuchi 16754,A,SRR26863458
Lygodium_volubile,Lygodium volubile,Missing,Missing,Mirabai Z284,A,SRR26863457
Lygodium_polystachyum,Lygodium polystachyum,1984,Thailand,Tongphan 12,A,SRR26863456
Lygodium_flexuosum,Lygodium flexuosum,2004,China,Wuzhishan Fern Survey 062,A,SRR26863505
Lygodium_kerstenii,Lygodium kerstenii,1956,Zimbabwe,Chase 6133,A,SRR26863504
Lygodium_trifurcatum_2,Lygodium trifurcatum,1961,Papua New Guinea,Darbyshire and Hoogland 7918,A,SRR26863503
Lygodium_japonicum,Lygodium japonicum,Missing,Missing,Testo sn,,SRR26863502
Lygodium_palmatum,Lygodium palmatum,1979,United States of America,Kirkman 1252,A,SRR26863501
Actinostachys_pennula,Actinostachys pennula,1994,Peru,Rimachi 11069,FLAS,SRR26863500
Anemia_adiantifolia,Anemia adiantifolia,2002,United States of America,Kabat 1034,FLAS,SRR26863499
Anemia_tomentosa,Anemia tomentosa var mexicana,2006,Dominican Republic,Abbott 21042,FLAS,SRR26863498
Anemia_phyllitidis,Anemia phyllitidis,Missing,Missing,Testo 1487,,SRR26863497